name,email,password,languages,birth_date,country,course,situationLaboral,role,dateCreated,gender,eventsConfi,imageUrl,firstOnBoard,conocimientos,quieroAprender,interests
José Luis Hoyos Iborra,josé.luis@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Inglés', 'Italiano', 'Francés']",1990-11-06,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.747413,male,[],https://dummyimage.com/1012x685,True,['64879e9a5340903bb1ebb0f9'],['64879e9a5340903bb1ebb0f1'],"['64879ed95340903bb1ebb108', '64879ed95340903bb1ebb115', '64879ed95340903bb1ebb114', '64879ed95340903bb1ebb105']"
Ernesto Prodi,ernesto.prodi@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés']",1982-09-01,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.758939,male,[],https://picsum.photos/647/773,True,['64879e9a5340903bb1ebb0f6'],['64879e9a5340903bb1ebb0f3'],"['64879ed95340903bb1ebb10c', '64879ed95340903bb1ebb117']"
Aureliano de Recio,aureliano.de@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Italiano', 'Inglés']",1987-06-15,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.770477,male,[],https://placekitten.com/795/68,True,"['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb10d', '64879ed95340903bb1ebb102']"
Prof. Leonid Trubin,prof..leonid@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Francés', 'Castellano', 'Inglés']",1993-02-13,Alemania,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.781769,male,[],https://picsum.photos/835/250,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f7']","['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f6']","['64879ed95340903bb1ebb100', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb0fd']"
Ing. Filippo Tintzmann MBA.,ing..filippo@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Inglés', 'Castellano', 'Italiano', 'Francés']",2002-12-17,Alemania,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.792912,male,[],https://dummyimage.com/726x153,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f7']","['64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb105']"
Marciano Alberto Casares,marciano.alberto@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano', 'Alemán']",1985-01-31,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.804362,male,[],https://picsum.photos/432/580,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f3']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f8']","['64879ed95340903bb1ebb107', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb112']"
Mario Reyes Crespo Tenorio,mario.reyes@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano', 'Inglés', 'Francés', 'Alemán']",1999-10-03,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.815490,male,[],https://dummyimage.com/747x124,True,"['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f6']","['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f2']","['64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb103', '64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb10c']"
Lazzaro Satta,lazzaro.satta@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Castellano', 'Francés']",2000-03-23,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.826634,male,[],https://dummyimage.com/533x308,True,['64879e9a5340903bb1ebb0f9'],['64879e9a5340903bb1ebb0f6'],"['64879ed95340903bb1ebb112', '64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb0fc', '64879ed95340903bb1ebb111']"
José María Jove Riquelme,josé.maría@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Inglés', 'Francés']",1992-05-07,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.837757,male,[],https://dummyimage.com/726x1019,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f6']","['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f5']",['64879ed95340903bb1ebb109']
Lucas-Alfred Giraud,lucas-alfred.giraud@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Inglés', 'Italiano']",1990-02-19,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.848972,male,[],https://picsum.photos/994/455,True,['64879e9a5340903bb1ebb0f1'],['64879e9a5340903bb1ebb0f2'],"['64879ed95340903bb1ebb108', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb111', '64879ed95340903bb1ebb105']"
John Velazquez,john.velazquez@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Castellano', 'Alemán', 'Italiano']",1985-12-06,Estados Unidos,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.860652,male,[],https://dummyimage.com/325x567,True,['64879e9a5340903bb1ebb0f2'],['64879e9a5340903bb1ebb0f4'],"['64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb115']"
Piergiuseppe Venditti,piergiuseppe.venditti@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Alemán']",1995-07-20,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.872009,male,[],https://placekitten.com/481/300,True,"['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f7']","['64879ed95340903bb1ebb111', '64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb102', '64879ed95340903bb1ebb10f', '64879ed95340903bb1ebb115']"
Joseph Besnard,joseph.besnard@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Castellano']",1996-01-17,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.883209,male,[],https://placekitten.com/123/317,True,"['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f8']",['64879ed95340903bb1ebb116']
Benoît Mathieu,benoît.mathieu@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Italiano', 'Inglés']",1994-08-10,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.894194,male,[],https://dummyimage.com/487x612,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f7']","['64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f6']",['64879ed95340903bb1ebb0fe']
Chuy Paulino Tovar Carmona,chuy.paulino@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Inglés', 'Italiano', 'Francés', 'Alemán']",2004-04-29,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.905345,male,[],https://placekitten.com/818/239,True,"['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f7']","['64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f8']","['64879ed95340903bb1ebb112', '64879ed95340903bb1ebb115', '64879ed95340903bb1ebb109', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb114']"
Victor Solis,victor.solis@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Castellano', 'Italiano', 'Francés', 'Alemán']",2004-08-27,Estados Unidos,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.916694,male,[],https://dummyimage.com/910x37,True,"['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f8']","['64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb111', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb102', '64879ed95340903bb1ebb10b']"
Mariusz Putz B.Eng.,mariusz.putz@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Castellano']",1992-12-04,Alemania,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.928087,male,[],https://placekitten.com/438/6,True,['64879e9a5340903bb1ebb0f9'],['64879e9a5340903bb1ebb0f3'],"['64879ed95340903bb1ebb111', '64879ed95340903bb1ebb101', '64879ed95340903bb1ebb117']"
Benjamin Guillet,benjamin.guillet@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Inglés', 'Castellano', 'Alemán']",1994-09-24,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.939529,male,[],https://dummyimage.com/989x248,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f6']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f8']","['64879ed95340903bb1ebb109', '64879ed95340903bb1ebb103', '64879ed95340903bb1ebb10b']"
Giuliano Tutino,giuliano.tutino@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Alemán', 'Castellano', 'Francés']",1986-07-02,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.951078,male,[],https://picsum.photos/39/880,True,"['64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f3']","['64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f7']","['64879ed95340903bb1ebb106', '64879ed95340903bb1ebb101']"
Marcial Manzano Peña,marcial.manzano@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano']",1996-09-21,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.962666,male,[],https://picsum.photos/583/33,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f5']",['64879ed95340903bb1ebb114']
Severiano Fernandez Segarra,severiano.fernandez@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Francés', 'Italiano', 'Inglés']",2004-02-29,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.974116,male,[],https://placekitten.com/662/770,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f6']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f3']","['64879ed95340903bb1ebb116', '64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb101']"
Lucio del Flores,lucio.del@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano']",1995-02-05,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.985345,male,[],https://dummyimage.com/835x256,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f3']","['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f7']","['64879ed95340903bb1ebb114', '64879ed95340903bb1ebb106']"
Augustin Lacroix,augustin.lacroix@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Inglés', 'Alemán']",1999-07-29,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:46.996483,male,[],https://placekitten.com/131/607,True,['64879e9a5340903bb1ebb0f3'],['64879e9a5340903bb1ebb0f6'],['64879ed95340903bb1ebb103']
Patrick Poulain,patrick.poulain@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Italiano']",1999-10-23,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.007737,male,[],https://picsum.photos/844/1014,True,"['64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f9']","['64879ed95340903bb1ebb110', '64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb114', '64879ed95340903bb1ebb10b']"
Carl Maynard,carl.maynard@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Italiano', 'Francés', 'Alemán']",1987-02-11,Estados Unidos,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.019025,male,[],https://dummyimage.com/77x148,True,"['64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f9']","['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb117', '64879ed95340903bb1ebb103', '64879ed95340903bb1ebb100']"
Zachary Roman,zachary.roman@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Francés', 'Castellano', 'Alemán']",2002-02-16,Estados Unidos,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.030284,male,[],https://dummyimage.com/889x557,True,"['64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f3']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f8']","['64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb102']"
Dott. Giulio Tarantini,dott..giulio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Castellano', 'Alemán']",1985-06-02,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.041594,male,[],https://picsum.photos/471/778,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f7']","['64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f6']","['64879ed95340903bb1ebb113', '64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb10d']"
Auguste Wagner,auguste.wagner@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Inglés', 'Alemán', 'Castellano']",1999-09-07,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.052888,male,[],https://picsum.photos/498/165,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f1']","['64879ed95340903bb1ebb0fd', '64879ed95340903bb1ebb10e']"
Janus Mohaupt,janus.mohaupt@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Inglés', 'Italiano', 'Castellano', 'Francés']",1999-04-29,Alemania,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.064462,male,[],https://picsum.photos/396/914,True,"['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f4']","['64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb115', '64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb112']"
Salvi Barillaro,salvi.barillaro@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés']",1991-05-20,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.075833,male,[],https://placekitten.com/834/456,True,"['64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f8']","['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb10f', '64879ed95340903bb1ebb0fa']"
Luciano Tamborini-Salieri,luciano.tamborini-salieri@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Castellano', 'Inglés', 'Francés']",1984-10-12,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.087018,male,[],https://placekitten.com/71/138,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb100', '64879ed95340903bb1ebb114', '64879ed95340903bb1ebb115']"
Jenny Ortega Benet,jenny.ortega@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano', 'Alemán', 'Inglés']",1990-06-14,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.098705,female,[],https://dummyimage.com/723x99,True,"['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f2']","['64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb110']"
Valentina Falloppio,valentina.falloppio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés', 'Alemán']",1998-10-30,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.109906,female,[],https://placekitten.com/295/425,True,['64879e9a5340903bb1ebb0f9'],['64879e9a5340903bb1ebb0f2'],['64879ed95340903bb1ebb10f']
Annamaria Zacchia,annamaria.zacchia@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Castellano', 'Inglés']",1997-03-10,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.121112,female,[],https://picsum.photos/923/225,True,"['64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f9']","['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f2']","['64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb102', '64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb10c']"
Pastora Tirado-Piña,pastora.tirado-piña@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano']",1996-02-27,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.132284,female,[],https://placekitten.com/331/45,True,"['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb108', '64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb10f']"
Misty Snyder,misty.snyder@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Castellano']",1994-12-04,Estados Unidos,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.143648,female,[],https://placekitten.com/293/163,True,"['64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f5']","['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f8']","['64879ed95340903bb1ebb110', '64879ed95340903bb1ebb111', '64879ed95340903bb1ebb112']"
Roberta Niscoromni,roberta.niscoromni@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Castellano', 'Alemán']",1986-12-18,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.154880,female,[],https://placekitten.com/58/373,True,['64879e9a5340903bb1ebb0f3'],['64879e9a5340903bb1ebb0f7'],['64879ed95340903bb1ebb10a']
Michelle Rivière,michelle.rivière@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Inglés', 'Italiano']",1998-07-10,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.166470,female,[],https://placekitten.com/774/399,True,"['64879e9a5340903bb1ebb0f2', '64879e9a5340903bb1ebb0f8']","['64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f4']","['64879ed95340903bb1ebb111', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb0fd']"
Siglinde Kranz,siglinde.kranz@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Castellano', 'Francés']",1999-11-19,Alemania,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.177921,female,[],https://dummyimage.com/445x0,True,"['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f9']","['64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f2']",['64879ed95340903bb1ebb106']
Susan Buisson,susan.buisson@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Italiano', 'Inglés']",2001-05-19,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.189231,female,[],https://dummyimage.com/818x826,True,"['64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb113']"
Diane Albert,diane.albert@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Alemán', 'Inglés', 'Castellano']",1982-12-14,Francia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.200333,female,[],https://dummyimage.com/595x387,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f3', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f1', '64879e9a5340903bb1ebb0f5']","['64879ed95340903bb1ebb105', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb108']"
Lucrezia Prada,lucrezia.prada@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Castellano', 'Alemán', 'Inglés', 'Francés']",2004-11-06,Italia,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.211551,female,[],https://dummyimage.com/875x162,True,"['64879e9a5340903bb1ebb0f8', '64879e9a5340903bb1ebb0f4']","['64879e9a5340903bb1ebb0f7', '64879e9a5340903bb1ebb0f9']","['64879ed95340903bb1ebb102', '64879ed95340903bb1ebb117']"
Obdulia Moreno Alonso,obdulia.moreno@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano', 'Alemán']",1982-11-09,España,64879f03e785526bbd480f3a,Estudiante,user,2023-06-12T22:51:47.222768,female,[],https://dummyimage.com/990x250,True,"['64879e9a5340903bb1ebb0f9', '64879e9a5340903bb1ebb0f4', '64879e9a5340903bb1ebb0f2']","['64879e9a5340903bb1ebb0f6', '64879e9a5340903bb1ebb0f5', '64879e9a5340903bb1ebb0f1']","['64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb117', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb0ff']"
